MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FFL10,24401002,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,503415902,"BOARD, FRONT (3L MKY)",RC1S1,1,48,1,48,0,48,SV-41137(VN3)/XR-75X95L/IA2,1,48
BTV,FFL10,24401002,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,505115801,"CARTON, INDIVIDUAL (3L PLD)",RC1S1,1,48,1,48,0,48,SV-41137(VN3)/XR-75X95L/IA2,1,48
BTV,FFL10,24399003,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,504502401,"CUSHION, UPPER R (3L PLD)",RC1S1,1,35,1,35,0,35,SV-41137(VN3)/XR-75X95L/AF1,1,35
BTV,FFL10,24399003,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,504502601,"CUSHION, LOWER R (3L PLD)",RC1S1,1,35,1,35,0,35,SV-41137(VN3)/XR-75X95L/AF1,1,35
BTV,FFL10,24211001,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502466901,"BOARD, FRONT (4L SGT)",RC1S1,1,10,1,10,0,10,SV-41120(AZ1)/XR-83A80L/AF1,1,10
BTV,FFL10,24211001,S85033,SONY CORPORATION,PANELTV,101175612,OLED PANEL(L83APB1),RCFS1,1,10,1,10,0,10,SV-41120(AZ1)/XR-83A80L/AF1,1,10
BTV,FFL10,22947018,080140,TOKOPAK SDN BHD,OUTJIT,504960001,"CUSHION, FRONT (4L TGR)",RC1S1,1,107,1,107,0,107,SV-40266(VN3)/KD-85X85K/E51,1,107
BTV,FFL10,22947018,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,503442501,"CELL, PROTECTOR (4L TGR)",RC1S1,1,107,1,107,0,107,SV-40266(VN3)/KD-85X85K/E51,1,107
BTV,FFL10,22947018,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44407801,"SIDE BOARD, LYX 85""_20mm",RC1S1,1,107,0.5,54,0,54,SV-40266(VN3)/KD-85X85K/E51,1,107
BTV,FFL10,22931020,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,154,1,154,0,154,SV-40268(VN3)/KD-75X85K/AF1,1,154
BTV,FFL10,22767017,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,502432402,"CUSHION, UPPER R (3L RIS)",RC1S1,1,204,1,204,180,24,SV-40051(VN3)/XR-75X90K/1AF1,1,204
BTV,FFL10,22764019,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,502432101,"CUSHION, LOWER R (3L RIS)",RC1S1,1,44,1,44,0,44,SV-40051(VN3)/XR-75X90K/UAF1,1,44
BTV,FFL10,22764019,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502312001,TRAY (3L PHN),RC1S1,1,44,1,44,0,44,SV-40051(VN3)/XR-75X90K/UAF1,1,44
BTV,FFL10,22764019,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44406401,"TOP BOARD, BNN 75""(5) (KF)",RC1S1,1,44,0.0909,4,0,4,SV-40051(VN3)/XR-75X90K/UAF1,1,44
BTV,FFL10,22763009,080140,TOKOPAK SDN BHD,OUTJIT,504959502,"CUSHION, LOWER C (4L TGR)",RC1S1,1,18,1,18,0,18,SV-40049(VN3)/XR-85X90K/IA2,1,18
BTV,FFL10,22759018,080140,TOKOPAK SDN BHD,OUTJIT,504959502,"CUSHION, LOWER C (4L TGR)",RC1S1,1,317,1,317,0,317,SV-40049(VN3)/XR-85X90K/AZ1,1,317
BTV,FFL10,22759018,080140,TOKOPAK SDN BHD,OUTJIT,504959701,"CUSHION, SIDE (4L TGR)",RC1S1,1,317,2,634,0,634,SV-40049(VN3)/XR-85X90K/AZ1,1,317
BTV,FFL10,22759018,080140,TOKOPAK SDN BHD,OUTJIT,504959901,"CUSHION, UPPER R (4L TGR)",RC1S1,1,317,1,317,0,317,SV-40049(VN3)/XR-85X90K/AZ1,1,317
BTV,FFL10,22759017,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,352,1,352,100,252,SV-40049(VN3)/XR-85X90K/AZ1,1,352
BTV,FFL10,22757008,080140,TOKOPAK SDN BHD,OUTJIT,504959502,"CUSHION, LOWER C (4L TGR)",RC1S1,1,27,1,27,0,27,SV-40049(VN3)/XR-85X90K/TH8,1,27
BTV,FFL10,22757008,080140,TOKOPAK SDN BHD,OUTJIT,504959801,"CUSHION, UPPER L (4L TGR)",RC1S1,1,27,1,27,0,27,SV-40049(VN3)/XR-85X90K/TH8,1,27
BTV,FFL10,22726008,080144,JEBSEN & JESSEN PACKAGING S/B,OUTJIT,503416501,"CUSHION, SIDE (3L MKY)",RC1S1,1,22,1,22,0,22,SV-40279(VN3)/XR-75X95K/E51,1,22
BTV,FFL10,22726008,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44408301,"PAPER PALLET, MKY 75 (6SETS)",RC1S1,1,22,0.0909,2,0,2,SV-40279(VN3)/XR-75X95K/E51,1,22
BTV,FFL10,20285037,313804,SONY ELECT OPERATIONS (CN) LTD,INJITI,500920522,REAR COVER (3L APL) A,RC1S1,1,11,1,11,0,11,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FFL10,20285037,080106,ZHAORI PACKAGING INDUSTRIES M,OUTJIT,501058001,"CUSHION, LOWER C (3L APL)",RC1S1,1,11,1,11,0,11,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FFL10,20285037,002128,DANSONPACK (KL) SDN BHD,OUTJITB,472440601,"ACC, POUCH",RC1S1,1,11,1,11,0,11,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FFL10,20285037,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,501604901,"CELL, PROTECTOR (3L BNN)",RC1S1,1,11,3,33,0,33,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FFL10,20285037,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,Z44400101,"PAPER PALLET, BNN 75"" (5)",RC1S1,1,11,0.0909,1,0,1,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FFL10,20285037,507800,SONY CORPORATION,PANELTV,A5024290C,P-MOD (YDAS075DNS02),RCFS1,1,11,1,11,0,11,SV-38712(AF1)/FW-75BZ40H/1AF1,1,11
BTV,FGL02,24606001,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502172301,TRAY (L PHN),RC1S1,1,30,1,30,0,30,SV-41544(CEI)/FW-55BZ35L/CEI,1,30
BTV,FGL02,24605001,080140,TOKOPAK SDN BHD,OUTJIT,502149301,CUSHION SIDE (L PHN),RC1S1,1,30,2,60,0,60,SV-41499(CEI)/FW-55BZ40L/CEI,1,30
BTV,FGL02,24601001,S80003,SONY TAIWAN LIMITED,INJITIOP,502541101,DIFFUSER PLATE (PHN L),RC1S1,1,50,1,50,0,50,SV-41487(CEI)/FW-55BZ30L/CEI,1,50
